Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
TN-155,Sevier County,57.3,115,1.5,55.8
TN-157,Shelby County,62.6,112,1.5,61.1
TN-159,Smith County,59.6,111,1.5,58.1
TN-161,Stewart County,59.8,117,1.9,57.9
TN-163,Sullivan County,57.3,117,1.9,55.4
TN-165,Sumner County,59.6,118,1.9,57.7
TN-167,Tipton County,61.5,107,1.2,60.3
TN-169,Trousdale County,59.7,114,1.7,58
TN-171,Unicoi County,54.4,109,1.5,52.9
TN-173,Union County,57.5,101,1.1,56.4
TN-175,Van Buren County,57.6,111,1.6,56
TN-177,Warren County,58.8,114,1.6,57.2
TN-179,Washington County,57.7,114,1.7,56
TN-181,Wayne County,59.9,111,1.4,58.5
TN-183,Weakley County,59.7,110,1.4,58.3
TN-185,White County,58.2,112,1.5,56.7
TN-187,Williamson County,60,121,2.1,57.9
TN-189,Wilson County,60.1,120,1.9,58.2
TX-001,Anderson County,66.9,110,1.4,65.5
TX-003,Andrews County,64.2,121,2.3,61.9
TX-005,Angelina County,68.3,124,2.2,66.1
TX-007,Aransas County,72.6,122,2.3,70.3
TX-009,Archer County,65.9,125,2.5,63.4
TX-011,Armstrong County,60.7,125,2.8,57.9
TX-013,Atascosa County,71.7,122,1.9,69.8
TX-015,Austin County,70.9,125,3,67.9
TX-017,Bailey County,59.6,124,2.6,57
TX-019,Bandera County,68.7,127,2.6,66.1
TX-021,Bastrop County,70.3,126,2.9,67.4
TX-023,Baylor County,66.2,125,2.8,63.4
TX-025,Bee County,72,115,1.7,70.3
TX-027,Bell County,68.5,125,2.7,65.8
TX-029,Bexar County,71,126,2.5,68.5
TX-031,Blanco County,68.4,124,2.2,66.2
TX-033,Borden County,65,122,2.2,62.8
TX-035,Bosque County,67.9,126,2.6,65.3
TX-037,Bowie County,65.4,124,2.3,63.1
TX-039,Brazoria County,71.6,125,2.7,68.9
TX-041,Brazos County,69.5,125,2.5,67
TX-043,Brewster County,66.9,120,2.3,64.6
TX-045,Briscoe County,61.9,123,2.5,59.4
TX-047,Brooks County,74.6,119,2.4,72.2
TX-049,Brown County,67.9,127,3.5,64.4
TX-051,Burleson County,69.9,125,2.8,67.1
TX-053,Burnet County,68.4,123,2.4,66
TX-055,Caldwell County,70.9,126,3.1,67.8
TX-057,Calhoun County,72.2,122,2.5,69.7
TX-059,Callahan County,66.4,126,2.7,63.7
TX-061,Cameron County,75.4,118,1.7,73.7
